title,rating,content
Splątane korzenie (2009),7,"Co po sobie zostawiamy? To pytanie zadaje bohater filmu Mikko, który musi zmierzyć się ze swoją śmiertelnością. Jest to też pytanie, które stawia widzom reżyserka, opowiadając historię rodziny napiętnowanej genetycznym defektem.  Mikko jest właścicielem sklepu ze starociami. Ma żonę, dwie córki (jedną adoptowaną) oraz syna z pierwszego małżeństwa. Mikko jest też śmiertelnie chory. Cierpi na pląsawicę Huntingtona, chorobę genetyczną atakującą układ nerwowy. Przez ostatnich kilka lat objawy zaczęły się nasilać, lecz tak długo jak tylko mógł, Mikko starał się funkcjonować normalnie i ukrywał swą chorobę przed najbliższymi. Jednak teraz staną na krawędzi i już za chwilę przestanie być osobą niezależną, pewną siebie. Już dłużej nie może ukrywać problemu przed dziećmi. Ponieważ zaburzenie to jest dziedziczone autosomalnie dominująco, jest 50% szans, że i one są chore. W ten sposób rodzina postawiona zostaje nie tylko w sytuacji nieuchronnej śmierci ojca, ale i świadomości, że także oni mogą skończyć podobnie.  ""Splątane korzenie"" jest w zasadzie dość standardową opowieścią o rodzinie w kryzysie. Obserwujemy poszczególnych członków rodziny, jak ścierają się ze sobą, próbują pogodzić z sytuacją, odnaleźć swoje miejsce w świecie i zrozumieć siłę więzów krwi. Niby oglądaliśmy to setki, jeśli nie tysiące razy i choć fińska produkcja nie proponuje nam niczego oryginalnego, to jednak ogląda się ją całkiem dobrze.  Kluczem do sukcesu jest sprawna reżyseria. Saara Saarela potrafi budować gorzką atmosferę nieuchronności śmierci na pozytywnych podporach trwania życia i rodziny. W rezultacie dostajemy produkcję przygnębiającą, ale niosącą w sobie zarzewie optymizmu. Fanom fińskiej kinematografii obraz z całą pewnością przypadnie do gustu.  Plusem filmu są też wysmakowane zdjęcia i stonowana, ale pozostająca z widzem muzyka. Dodają one całości wyjątkowego charakteru, wydobywając z fabuły to, co w niej najistotniejsze.  ""Splątane korzenie"" konfrontuje widza z nieuniknionością śmierci i pokazuje, że nie koniec się liczy, lecz to, co uda nam się dokonać przed nim. Podkreśla też fakt, że nigdy nie jest za późno, by naprostować to, co przez lata zostało splątane.  "
Super brat (2009),4,"Też mam starszego brata. Jest mądry, silny i zawsze mnie obroni. Mogę sobie wyobrazić, że o takim właśnie bracie marzy Anton, bohater filmu duńskiego reżysera Birgera Larsena.  Relacje Antona z jego starszym bratem są zupełnie niestereotypowe.  To Anton pomaga Bullerowi w odrabianiu pracy domowej, przeprowadza go przez ulicę i tuli, kiedy ten wpada w histerię. I choć wydaje się, że robi to z miłością i oddaniem, po czasie okazuje się, że jak na dziesięcioletniego chłopca ciężar sprawowania opieki nad autystycznym bratem jest zbyt duży. Anton powtarza raz za razem, że chciałby mieć ""normalnego"" brata, z którym będzie mógł się bawić, wyczyniać głupstwa, i ten od czasu do czasu da w gębę, komu trzeba. Także sam Buller, świadom kłopotów, które sprawia, mówi wprost: ""Ja już nie chcę taki być"", a matka chłopców nie ustaje w poszukiwaniu cudownego lekarstwa na jego zaburzenia. Wszyscy będą więc niezmiernie zadowoleni, kiedy Anton znajdzie meteoryt o magicznym działaniu. Jego moc sprawi, że Buller nie tylko stanie się ""normalny"", ale i posiądzie nadzwyczajne umiejętności.  Wykorzystanie w filmie motywu autystycznego dziecka mogłoby sugerować, że jego twórcy chcieli powiedzieć coś ważnego na temat osób dotkniętych tą chorobą lub członków rodziny zmagającej się podobnym problemem. Tymczasem wszyscy w ""Super bracie"", z matką chłopców na czele, pragną, by Buller był normalnym dzieckiem. I są szczęśliwi dopiero wtedy, gdy tak się staje. Szkoda więc, że z filmu nie płynie żaden morał uczący dzieci cierpliwości czy też akceptacji.  Ponadto twórcom ""Super brata"" tak bardzo zależało na umieszczeniu w fabule wątków, które spodobają się małoletniej widowni, że nie baczyli szczególnie na  utrzymanie wydarzeń w ciągu logicznym i przedstawieniu wiarygodnej motywacji bohaterów. I chociaż film nie jest też szczególnie zabawny, to jednak jego główni bohaterowie odgrywani przez Lucasa Odina Cloriusa i Victora Kruse’a Palshøja, są na tyle sympatyczni, że ""Super brata"" ogląda się ze względnym zainteresowaniem.  Być może film byłby lepiej odebrany przez publiczność WFF, gdyby nie błędy organizatorskie. Słaby lektor o głosie Tomasza Knapika (!) nie pasował zbytnio do filmu familijnego, w dodatku brzmiał jak beznamiętny syntezator mowy. Co więcej, niektóre kwestie w ogóle nie były tłumaczone, stąd część najmłodszych widzów wraz z rodzicami opuściło salę.     "
Mój porywacz (2010),7,"Kolumbia jest jak pułapka na myszy. Kusi serem w postaci zapierających dech widoków ruin starożytnych cywilizacji Indian, ale ci, którzy ulegną pokusie, mogą zostać schwytani przez niekończący się konflikt wewnętrzny rozdzierający ten kraj od dziesięcioleci. Nie bez powodu Kolumbia jest krajem numer jeden pod względem liczby porwań dla okupu.  W 2003 roku doszło w górzystym rejonie Kolumbii do porwania ośmiu obcokrajowców. Jeden z nich zbiegł, lecz pozostała siódemka, w tym czwórka Izraelczyków, Brytyjczyk i Niemka, byli dalej przetrzymywani. Zostali uwolnieni dopiero po ponad trzech miesiącach. Niespełna rok później Brytyjczyk – Mark Henderson – otrzymał maila od jednego z porywaczy. Z Niemką również skontaktowała się porywaczka. Przez kolejne pięć lat korespondowali ze sobą, aż w końcu postanowili się spotkać. Wyprawie, w której poza Brytyjczykiem i Niemką wzięło udział dwóch Izraelczyków, towarzyszyła kamera.  Przez półtorej godziny oglądamy byłych porwanych, którzy wracają do miejsca ich tragedii. Widzimy ich reakcje, kiedy przed oczami stają im wydarzenia sprzed lat. Z ich opowieści i fragmentów dzienników dowiadujemy się, jak się czuli, będąc przetrzymywanymi wbrew własnej woli przez ludzi, o których nic nie wiedzieli. Poznajemy kulisy całej sytuacji: podziały w grupie porwanych, różne taktyki, nerwowe załamania i desperackie plany ucieczki. Dzięki włączeniu wypowiedzi jednego z porywaczy, otrzymujemy też możliwość spojrzenia na wszystko z drugiej strony.  Nie ma w tym dokumencie miejsca dla głębszej analizy. Nie powinno to dziwić, skoro współreżyserem jest jeden z porwanych, właśnie Mark Henderson. Od takich przeżyć nie można się zdystansować. Jakiekolwiek przemyślenia pozostawione zostają widzowi, ale są to głównie pytania bez odpowiedzi. Film jednak dobrze oddaje emocjonalne doświadczenia porwanych, a scena, w której bohaterowie spotykają się grupą wysiedlonych kobiet i okazuje się, że jedną z nich spotkali w czasie, kiedy byli porwani, robi bardzo duże wrażenie.  ""Mój porywacz"" to portret ocalałych, lecz na zawsze naznaczonych tragedią. Jest to obraz gorzki i wzruszający zarazem, w którym nadzieja miesza się z czarną rozpaczą, kiedy okazuje się, że wolność nie jest końcem porwania.  "
Inny świat (2010),6,"Gilles Marchand, scenarzysta takich filmów, jak ""Harry, twój prawdziwy przyjaciel"" czy ""Leming"", znów opowiada o niebezpiecznych obsesjach. Tym razem jednak postanowił historię także wyreżyserować i osadzić ją w coraz popularniejszym świecie wirtualnych gier online.  Bohaterem jest młody, naiwny Gaspard. Wraz ze swoją dziewczyną jest on świadkiem próby samobójczej dwójki osób. Chłopak zmarł, piękna blondynka przeżyła. Zaintrygowany Gaspard postanawia dowiedzieć się czegoś więcej o dziewczynie. Trop wiedzie do wirtualnej gry online. Gaspard nie może zapomnieć o blondynce. Zaczyna spędzać coraz więcej czasu w sieci, szukając tajemniczej nieznajomej, a potem z nią rozmawiając. Wraz z rozwojem jego obsesji, zwiększa się też jego zależność od dziewczyny, przy czym nie zdaje on sobie sprawy z zagrożenia, na jakie się wystawia.  Marchand nazwał swój film ""Inny świat"". To tytuł trochę mylący. Rzeczywistość wirtualna wcale bowiem nie jest innym światem, a raczej rozszerzeniem naszego. To przestrzeń alternatywna dla snu. I podobnie jak we śnie, staje się miejscem, w którym na plan pierwszy wychodzą nasze najskrytsze impulsy, popędy maskowane za dnia. O ile jednak sny pozostają na zawsze czymś indywidualnym, o tyle przestrzeń wirtualna może być dzielona jednocześnie przez wiele osób, pozwalając na intymny kontakt podświadomości. Ta intymność jest jednak zwodnicza, kryje się za nią niebezpieczeństwo bycia owładniętym przez popędy, wobec których pozostajemy bezradni, których nigdy nie nauczyliśmy się kontrolować i dlatego zostały one ze świadomości wyparte lub zamaskowane innymi mechanizmami obronnymi.  ""Inny świat"" to interesujące studium psychologiczne stawiające pytania na temat bezpieczeństwa bawienia się swą własną naturą. Marchand pokazuje zagrożenia przed którymi, z racji szybkiego rozwoju techniki, człowiek nie potrafi się jeszcze obronić. Jednak jego film lepsze wrażenie robi w warstwie scenariuszowej niż reżyserskiej. Trochę żal, że ""Innego świata"" nie wyreżyserował Dominik Moll (autor i ""Harry'ego"" i ""Leminga""). Jemu lepiej wychodzi pokazywanie paranoi i obsesji. Marchand ograniczył się w zasadzie do zbliżeń twarzy Grégoire'a Leprince-Ringueta, jej specyficznego kadrowania i oświetlania. To za mało.  "
Wściekłość (2010),9,"Takeshi Kitano powraca do gangsterskiego kina i czyni to w naprawdę imponującym stylu. ""Wściekłość"" to kino najwyższych lotów będące zarazem znakomitym kompendium wiedzy na temat strategii walki. Można je wręcz potraktować jak filmową ilustrację ""Księcia"" Machiavellego i ""Sztuki wojny"" Sun Ziego.  Film opowiada o klanie jakuzy, w którym właśnie dojdzie do sporego przetasowania sił. Szefowi nie podoba się wzrost znaczenia kilku rodzin, rozpoczyna zatem ciąg zdarzeń, który ma doprowadzić do wyeliminowania ich i osiągnięcia większych wpływów przez niego samego. Wbrew jednak tytułowi, w filmie nic nie dzieje się gwałtownie, a stopniowo, metodą małych kroków. Najpierw intensyfikowane jest napięcie na linii wewnętrznych sojuszów, potem kolejno są one przecinane, a trupów zaczyna przybywać w postępie wykładniczym.  Świat mafii w filmie Kitano pozbawiony jest tej otoczki ""glamour"", którą tak bardzo lubią filmowcy. O przestępczym środowisku mówi się, że są tam do zdobycia duże pieniądze i to bardzo szybko. Implikuje to też łatwość ich zdobycia (choć za wysoką cenę), lecz rzeczywistość – jak pokazuje Kitano – jest zupełnie inna. Bycie gangsterem to harówka, która nigdy się nie kończy. Sukces można osiągnąć tylko dzięki nieustającej czujności. Struktura władzy pozostaje stabilna dzięki swej płynności. Pozwala to na szybką eliminację jednostek, które są słabe, tych, które stały się zbyt potężne i tych, które są zbyt pewne siebie. Wierzący w niezmienność sytuacji nie przetrwają długo. Lojalność jest niezbędna, lecz jeszcze bardziej przyda się umiejętność snucia intryg. Tylko dzięki temu można zwyciężyć wroga mającego większą siłę i większe możliwości.  ""Wściekłość"" to kino surowe. Kitano niemal zupełnie rezygnuje z ozdobników, jak choćby teledyskowego montażu czy muzyki. Przez to jego film odcina się do typowego kina akcji. Dzięki takim zabiegom formalnym na pierwszy plan wychodzi prezentowana intryga. Reżyser wychodzi z założenia, że jego historia obroni się sama. I ma rację. Opowieść o wewnętrznej wojnie o wpływy imponuje taktycznym rozmachem i skalą. Zwłaszcza, że wszystko zaczyna się od jednego, niewinnego zdania.  Brawo dla mistrza Kitano.  "
Kaboom (2010),8,"Gregg Araki znów zaskakuje. ""Kaboom"" to film, który przyprawia o rozdwojenie jaźni. Z jednej strony reżyser garściami czerpie z kina SF klasy C, z drugiej strony nadaje całości tak niezwykłą intensywność, że przekracza ograniczenia kiczu. W rezultacie otrzymujemy pierwszorzędną rozrywkę połączoną z inteligentną zabawą schematem, dającą widzom jedyny w swoim rodzaju odjazd.  Autor ""Straconego pokolenia"" i ""Donikąd"" w ""Kaboom"" wykorzystał typową konstrukcję młodzieżowego filmu SF. Wziął więc grupę pięknych i młodych aktorów i obsadził ich w rolach studentów, którzy trafiają w sam środek przedziwnej intrygi. Fabuła jest tak naiwna, naciągana, a chwilami absurdalna, że w jakimkolwiek innym obrazie nie dało by się tego obejrzeć. Dotyczy tajemnej sekty, mocy parapsychicznych, proroczych snów i zbliżającej się apokalipsy. Jednak u Arakiego wszystko to zostaje tak podkręcone, że zamiast wywoływać niesmak, zaczyna naprawdę bawić.  Co jednak najbardziej niezwykłe, to to, że choć podczas seansu śmiejemy się z tego, co widzimy na ekranie, sam Araki wcale nie wyśmiewa się z kina klasy C. Przeciwnie, traktuje je całkiem serio, wykorzystując je jako fundament, na którym wznosi swą wyjątkową wizję. Araki stawia się tutaj w roli filmoznawczego interpretatora, który w bajecznie kolory sposób opowiada o kinie kiczu, wydobywając na światło dzienne całą symbolikę kryjącą się za z pozoru naiwnymi i prymitywnymi opowieściami, jakie szerokim łukiem omijają zazwyczaj kina. Według niego ta symbolika dotyczy seksualności i jej eksplozji u młodych ludzi. Teza oczywiście nie jest zbyt odkrywcza. Napisano na ten temat szereg rozpraw psychologiczno-filmoznawczych. Przyznać trzeba jednak, że milej ogląda się tak niezwykłe filmy jak ""Kaboom"", niż czyta suche artykuły naukowe.  ""Kaboom"" robi spore wrażenie za sprawą strony wizualnej. Araki nasycił obraz taką intensywnością barw, jakby chciał przekształcić swój film w odjechaną wizję po zażyciu jakichś halucynogenów. Nasze zmysły są bombardowane soczystymi barwami, wszyscy aktorzy są pokazani od jak najlepszej strony, przekraczając granice tego, co naturalne. Fani Arakiego odkryją tu te same chwyty, które stosował z powodzeniem już wcześniej. Tym razem wszystko zdaje się układać perfekcyjnie. Jeśli więc podejdziecie do filmu z dystansem, czeka Was kawał świetnego rozrywkowego kina.  "
Mordercza opona (2010),4,"""Opona"" to jak dotąd jedno z największych rozczarowań tegorocznego festiwalu. Film – zapowiadany jako szalona rozrywka bez hamulców – okazał się mało śmieszną parodią tandetnego kina grozy.  Dzieło Quentina Dupieux nadaje się w sam raz dla snobów, którym nie wypadało śmiać się na ""Piranii 3D"". U Alexandre'a Aji mieliśmy czystą, niczym nieskrępowaną zabawę w krwawym sosie. Na ekranie królowały nagie silikonowe biusty i ostre zęby ryb mielące mięso szybciej niż maszyny z masarni. Z kolei twórcy ""Opony"" na każdym kroku przypominają widzowi: wiemy, że to zły film, nigdy byśmy czegoś takiego nie nakręcili, gdyby nie chodziło o rozłożenie historii na czynniki pierwsze i przeanalizowanie fabularnych debilizmów, jakimi posługują się twórcy podobnych gniotów. My wiemy, że wy wiecie, że jesteśmy ambitni i mamy wyrafinowane poczucie humoru. To chyba jasne?  Znakomity i absurdalny pomysł, by bohaterem filmu uczynić krwiożerczą oponę z parapsychicznymi zdolnościami, traci nośność mniej więcej po dwudziestu minutach. Potem  Dupieux w kółko powtarza ten sam schemat: gumowy zabójca toczy się po piaszczystych bezdrożach i niczym scannersi z horroru Davida Cronenberga rozsadza głowy kolejnym napotkanym  osobom. W ślad za oponą podąża szeryf, który zdaje się jednocześnie reżyserować  prezentowaną na ekranie historię. Ponadto są tu jeszcze widzowie obserwujący za pomocą lornetek brutalną odyseję tytułowej bohaterki.  ""Opona"", choć niemiłosiernie nudna, jest jednak bardzo dobrze zrealizowana. Dupieux potrafi ustawiać kamerę w ""odjechanych"" miejscach, a jego spece od efektów specjalnych dbają o to, by tytułowa bohaterka toczyła się w realistyczny sposób. Dodatkowy punkt należy się organizatorom pokazu: po wyjściu z sali widzowie natykali się na opony. Donoszę, że nikt nie stracił głowy.   "
Wysoka dziewczyna (2019),7,"W swoim drugim pełnym metrażu Kantemir Balagov po raz kolejny bierze na warsztat kobietę, ba, tym razem nawet dwie. Pokazywana premierowo w prestiżowej sekcji Un Certain Regard na canneńskim festiwalu ""Wysoka dziewczyna"" opowiada historię Iyi (Viktoria Miroshnichenko), która po wojnie powraca do Leningradu z trzyletnim Pashką (Timofey Glazkov) i zatrudnia się jako siostra w szpitalu. Wkrótce w wyniku nieszczęśliwego wypadku dziecko umiera, a do miasta przyjeżdża frontowa przyjaciółka bohaterki, Masha (Vasilisa Perelygina), jak się dowiadujemy – matka chłopca.        Non-Stop Productions Cały obraz oparty jest na kontraście obydwu bohaterek. Iya jest nieśmiała, wrażliwa, z sercem otwartym dla innych. Masha przeciwnie – pewna siebie, dominująca, skupiona na sobie. Każda ich kolejna konfrontacja coraz bardziej oddala je od siebie i uwydatnia dzielące różnice. Łącząca je relacja zmienia swój charakter stopniowo, ale diametralnie – od solidarności w świetle śmierci dziecka po postępującą toksyczność, opartą na szantażu emocjonalnym. Podobnie jak w debiutanckiej ""Bliskości"", tak i teraz złote dziecko rosyjskiego kina kreuje specyficzną, niezwykle napiętą atmosferę prezentowanej historii, w której tragedia okazuje się być tylko wierzchołkiem potężnej góry lodowej. Twórca niezwykle misternie buduje wizerunek nie tylko obu kobiet, ale i całego świata przedstawionego, dając widzowi odpowiednio dużo czasu na zatopienie się w portretowanej rzeczywistości.  Rosyjski reżyser poświęca bowiem całkiem sporo uwagi (choć mimochodem) powojennym realiom, a szczególnie samym mieszkańcom miasta, którzy powoli wracają do normalności po trwającej przeszło dwa lata niemieckiej blokadzie. Podejmuje przy tym tematykę ""nowego początku"" symbolicznie łącząc powstający z kolan Leningrad z obiema kobietami próbującymi ułożyć sobie życie na nowo. Dość dodać, że o przeszłości zarówno Iyi jak i Mashy praktycznie nic nie wiemy, zupełnie jakby wojna ucięła ich przeszłość i wymazała wszelkie wspomnienia.  W osiąganiu takiego efektu twórca pomaga sobie nie tylko niespiesznie rozwijającą się fabułą, ale i odpowiednio skonstruowaną oprawą audiowizualną. Szczególną uwagę zwraca sam obraz, utrzymany w ciemnej tonacji, ale jednocześnie pełen kolorów, niejednokrotnie przypominający dzieło malarskie. Ważna jest tu też praca kamery, która leniwie zmienia perspektywy i często zatrzymuje się na twarzy postaci, niejako przedłużając poszczególne sceny. Klimatu dopełnia dość skąpa linia dialogowa – Balagov ponownie przekazuje widzowi więcej sugestywnym, milczącym spojrzeniem aniżeli słowem. To zaś, choć pojawia się nie tak często, niejednokrotnie potrafi wgnieść publikę w fotel (patrz: monolog Mashy w końcowej części filmu).  Mimo tak pieczołowitej konstrukcji, ""Wysoka dziewczyna"" nie prezentuje się ostatecznie jako film ze wszech miar głęboki. O wiele bardziej skąpy niż pierwszy okazuje się być bowiem drugi plan, który, choć obfitujący w pokaźną liczbę postaci, to znikomą bohaterów. Zarówno wątek nieumyślnie wplątanego w intrygę lekarza, jak i zakochanego w Mashy młodzieńca z bogatego domu, czy rannego żołnierza i jego żony pozostawiają po sobie pewien niedosyt i finalnie nieco rażą niewykorzystanym w pełni potencjałem. Być może reżyser celowo postawił ich tylko jako figury, wokół których lawirują Iya i jej przyjaciółka, ale niekiedy daje się odnieść wrażenie, że wielowarstwowości w budowaniu postaci starczyło mu tylko na dwie protagonistki.        Non-Stop Productions Nie zaciera to jednak ogólnie pozytywnych wrażeń ze spektaklu. Balagov nie tylko potwierdza nim, że nauka pod kątem Aleksandra Sokurowa nie poszła na marne, ale jednocześnie zarysowuje swój autorski styl i buduje nazwisko, stając się obok Zwiagincewa czy Sieriebriennikowa jednym z najbardziej rozpoznawalnych obecnie na świecie głosów ze Wschodu, szczególnie wśród canneńskiego splendoru. Wiele wskazuje na to, że kolejne dzieło tego obiecującego i młodego wciąż reżysera dostanie się wreszcie do głównego konkursu festiwalu, na co z pewnością sobie zasłużył."
Red (2010),7,"Ich młodość dawno minęła, od lat cieszą się zasłużoną emeryturą, ale to wcale nie znaczny, że można im powiedzieć ""spieprzaj dziadu"". Co to, to nie. Może i są starzy, ale za to jarzy i jeśli znajdzie się ktoś na tyle głupi, żeby ich rozdrażnić, ten na deser dostanie ołowianą bombonierkę, od której pęknie. Witajcie w świecie Retired Extremely Dangerous, czyli ""RED"".  Nowy film Roberta Schwentkego to adaptacja sensacyjnego komiksu Warrena Ellisa pod tym samym tytułem, choć słowo adaptacja nie bardzo tu pasuje. Moses ma w filmie inne imię, termin ""red"" otrzymał nowe znaczenie, a cała intryga została mocno zmieniona. To, co pozostało z oryginału, to ironiczny humor i sporo strzelanek. Bohaterowie kochają pociągać za spust i nie oszczędzają na nabojach. Na widzów czeka więc sporo eksplozji, latających kul i walki wręcz. Do tego dochodzi trochę ciętych dialogów i spora dawka czystej zabawy. ""RED"", jak zatem łatwo się domyślić, to film bez jakichkolwiek głębszych ambicji. Twórcom chodziło o to, by widz przez półtorej godziny miło spędził czas w kinie, zajadając się popcornem popijanym mocno nagazowaną colą. I cel ten udało się osiągnąć.  O fabule nie ma co się za bardzo rozwodzić. Jak w większości podobnych produkcji, historia ma dość umowny charakter i stanowi tło dla bohaterów i ich niesamowitych wyczynów. Stąd też nie ma co się krzywić, jeśli nie wszystko układa się w logiczną całość, a poszczególne sceny nie mają większego sensu. Nie o to tutaj chodzi. Liczy się karabinowa fiesta w blasku gwiazd.  Schwentke rozwija się z każdym kolejnym filmem w Hollywood. Po mocno przeciętnym ""Planie lotu"" byli całkiem nieźli ""Zaklęci w czasie"", a teraz otrzymaliśmy ""RED"" – najlepszy obraz ze wszystkich trzech. Oczywiście, tak naprawdę nikt nie wybierze się na niego dla reżysera. Magnesem są aktorskie gwiazdy. Te nie zawodzą, każdemu w udziale przypadła co najmniej jedna dobra scena, dla przykładu: Morgan Freeman proszący pielęgniarkę o poprawienie anteny czy Helen Mirren w białej sukni nokautująca rosłego agenta służb specjalnych. Malkovich świetnie prezentuje się jako świr, a Cox jako rosyjski szpieg, żalący się, że już od lat nikogo nie zabił. Najsłabiej prezentuje się Willis, głównie dlatego, że ostatnio sporo go było w komediowo-sensacyjnym repertuarze, więc nie robi aż takiego wrażenia.  Mając tak imponującą obsadę, Schwentke nie mógł zepsuć filmu. Oczywiście w Hollywood wszystko jest możliwe, lecz tym razem wyjątku nie było. Rozrywka okazała się naprawdę przednia. "
Boogie (2009),7,"Jak miło jest w końcu zobaczyć film animowany, w którym nie ma słodkich zwierzaków, robotów robiących wielkie oczy i sterylnej perfekcji hollywoodzkich artystów. ""Boogie"" to animacja niepokorna, przeznaczona dla widza dorosłego, który potrafi odnaleźć się w czarnym humorze i akcji pełnej przemocy i politycznej niepoprawności.  Tytułową postać wymyślił dawno temu Roberto Fontanarrosa jako satyryczną odpowiedź na ""Brudnego Harry'ego"". Boogie to facet z jajami jak kule armatnie. Jego najszczęśliwsze wspomnienia to wietnamskie pola stojące w płomieniach napalmu. Smak krwi i prochu poznał na wszystkich frontach współczesnych konfliktów zbrojnych. Przemoc to jedyny aspekt człowieczeństwa, który sobie przyswoił. Bliskość emocjonalna, altruizm czy empatia to pojęcia kompletnie mu obce. Wszelkie sprawy rozwiązuje przy użyciu swojego magnum. A za sens istnienia uważa wzbogacanie się poprzez stosowanie przemocy.  Kiedy jednak w mieście pojawi się nowy utalentowany zabójca, a była tłuścioszka, teraz piersiasta seksbomba, przyprawi go o śmiertelne problemy, sytuacja zacznie ulegać zmianie. Zmuszony do ratowania cudzego tyłka stopniowo traci swój zwyczajowy dystans. Dużą rolę w tym odegrają hektolitry przelanej krwi.  Animacja ""Boogie"" to rzecz przeznaczona dla amatorów krwawej jatki. Twórcy nie patyczkują się i trup ścieli się gęsto, i to we wszystkich możliwych konfiguracjach: ludzie są siekani, rozrywani eksplozjami, duszeni i oczywiście rozstrzeliwani. Akcja toczy się wartko w sposób typowy dla twardego, męskiego kina. Całość okraszono bardzo czarnym i bardzo niepoprawnym humorem. Wiele tekstów Boogiego zostanie przez widzów zapamiętanych na dłużej.  Film jest zatem dobrą rozrywką, choć bazuje na najniższych instynktach. Termin ""odmóżdżacz"" pasuje do niego doskonale. W tym przypadku nie jest to rzecz jasna wada. W końcu takie filmy też są potrzebne, zwłaszcza jeśli zostały dobrze przygotowane, a tak jest w tym przypadku. Można co prawda kręcić nosem, że po pewnym czasie cała ta masakra staje się zbyt monotonna, ale nie przesadzajmy, nie jest aż tak źle. A dwójka głównych bohaterów - Boogie i jego piersiasta towarzyszka – została tak skonstruowana, by zmaksymalizować frajdę widzów.  ""Boogie"" nie jest rzecz jasna żadnym przełomem w animacji. Nawet filmy rysunkowe dla dorosłych bywały lepsze. Nie zmienia to jednak faktu, że film ogląda się dobrze. Czas spędzony w kinie z całą pewnością nie będzie zmarnowany."
