content,rating
"Z każdym kolejnym razem, ten film wydaje mi się lepszy. Oglądam go średnio co 2 lata i za każdym razem ktoś mi kroi cebulę przed nosem. Według mnie była to rola życia Duncana, zagrał po mistrzowsku.",9
"Mamy tutaj do czynienia z typowym amerykańskim wylewaczem łez. Film jest przeciętny i nic poza tym, zawsze gdy atakuję go w obecności znajomych zadają mi pytanie ""czy płakałem"". Otóż nie, wzruszyłem się, to prawda, ale czy to od razu powód aby wystawiać mu dychę? Nie sądzę. Moje wzruszenie zostało kupione tanimi chwytami z którymi miałem już styczność wielokrotnie, Wszystko jest niesamowicie ...",4
lecz jeśli znasz kogoś kto oglądał ten film i nie płakał to WIEDZ że coś się dzieje.,10
"że gdyby nie płonąca scena egzekucji,mógłby robić zamiast""Domku na prerii""dla mało rozgarniętej dziatwy ze szkółki niedzielnej.Nieprawdziwe postacie,strażnicy o gołębich sercach skumplowani ze skazancami,a samo wiezienie-jak senatorium.Goscie mają Coffeya,objawienie,-nie wiem-tak jakby sam Jezus,albo jakiś kosmita zszedł na Ziemię-a oni ...",5
Dopiero po przeczytaniu książki i obejrzeniu filmu poraz drugi zauważyłem że temu filmowi należy się zdecydowane 10.Genialny.Role Toma Hanksa i Michaela Clarka Duncana idealne.,10
Na pogrzebie własnego syna nie płakałem tak jak na tym filmie,9
"Jeden z najlepszych filmów jakie widziałem. Genialny w każdym calu, historia przedstawiona jak trzeba, rewelacyjna gra aktorska, świetna fabuła, doskonałe przesłanie, odpowiedni klimat oraz muzyka. Jest to jeden z filmów który można oglądać kilka razy i po latach przypuszczam również będzie zdawał egzamin. 10/10.",10
"Zaczęło się pewnie od jakiegoś nawiedzinego gościa w serwisie FilWebu... podkręcił sztucznie pierwsze 100 tys głosów – i cieszył się widząc jak ludzie oglądają to co im polecił. Potem mógł nawet odjąć te extra głosy – jak się maszynka zaczęła kręcić – to działa już jak perpetum mobile...Ja, w każdym razie, dałem się złapać. Po przeczytaniu opisu filmu ...",4
"Zacznijmy od tego, że King to grafoman, choć nie aż tak wielki jak np. banalista Coelho. O samym filmie wszystko już powiedział pewien Ichabod (on naprawdę ma rację, co może trudno dostrzec przez tę przytłaczającą charyzmę), więc zapraszam do obejrzenia mini-recki: http://www.youtube.com/watch?v =HQ01tuxOwPkDobre filmy to robili Kurosawa, P. T. Anderson, Bergman... Darabont, Spielberg, Cameron, Nolan, ...",3
"Zacznę w sposób kurtularny, gdyż nie chcę byście donosili i konfidentowali na mnie :). Uważam, że ten film to jest porażka kinematografii, TAKIEgo tragicznego filmu ze świecą szukac w czeluściach Charona.Argumenty :1. Zacznijmy od głównego bohatera. Ten duży murzyn jest za duży, stanowczo za duży. Nie ma takiego wielkiego człowieka na świecie i nigdy nie było, moim zdaniem dawanie tego do ...",5
"Jeden z bardziej infantylnych filmów w ogóle. Co ten King napaćkał i Darabont nawywijał?Mamy tu Murzyna potrafiącego leczyć, a raczej przejmować na siebie choroby, po czym one ulatują z niego w postaci owadów wylatujących z jego ust.Co więcej on potrafi też przenosić chorobę na inną osobę, co robi złemu strażnikowi.To wygląda po prostu źle i jest głupie.",5
"Prosty. Przewidywalny. Po obejrzeniu miałem wrażenie, że przewidziałem gdzieś połowę tego filmu. Nie ma tu duszy, gniewu, chwili refleksji, odprężyć się przy tym też nie da. Jedyne plusy jakie z tego wyciągnąłem to seria żartów, które o tym filmie czasem opowiadam. Co prawda film widza bezkrytycznego pochłonie bez reszty. Co kto lubi i sprawia, że czuje się lepiej i ...",3
"ponieważ nie wzruszyłem się w trakcie oglądania tego filmu. Nie uważam, że jest zły, ale nie jest też arcydziełem. Poza grą aktorską nie ma w nim nic wybitnego. Płaczliwość Johna momentami irytująca.",7
"Po rewelacyjnych,wręcz genialnych ""Skazanych na Shawshank"" dostałem mało strawna,niemiłosiernie długą bajkę o myszce,dobrym strażniku i olbrzymie o wielkim sercu i zdolnościach nadprzyrodzonych. Wiem,to King,ale jednak. Taka obsada,taki reżyser i taki budżet zasługiwał naprawdę na coś lepszego,choć w połowie tak dobrego jak wcześniejsze więzienne arcydzieło z Robbinsem i Freemanem.",5
"fabula oparta na prostych patentach, przerysowane jedno wymiarowe postacie, widz prowadzony za rączkę, zero morału, nawet bohaterowie niczego się nie nauczyli, a co dopiero widz. wszystko zawinięte w bardzo ładny papierek, który woła ze sklepowej witryny ""kup mnie kup mnie"" i widz kupuje. strasznie przereklamowany.",5
No nie mogę awansował na 3 miejsce a ojciec chrzestny spadł na 4.,3
"Wymusza na tobie płacz, operuje kiczem i na dokładkę serwuje proste motywy (biedny czarnoskóry). Nie pojmuję waszego zdania. Telewizja zabrała ludziom gust filmowy.",3
